"filename", "language", "JavaScript JSX", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "JSON with Comments", "JSON", "HTML", "Markdown", "XML", "comment", "blank", "total"
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/globals/themeBox.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/index.css", "CSS", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/index.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/AddBrandForm.tsx", "TypeScript JSX", 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 3, 18, 224
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/AddCategoryForm.tsx", "TypeScript JSX", 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 6, 19, 233
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/AddProductForm.jsx", "JavaScript JSX", 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 14, 239
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/AddToInventory.jsx", "JavaScript JSX", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8, 98
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/BannerManagement.jsx", "JavaScript JSX", 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 226
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/BillingAndInventory.jsx", "JavaScript JSX", 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 14, 212
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/Brands.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/Cart.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/Catalog.jsx", "JavaScript JSX", 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 211
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/Categories.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/Chat.jsx", "JavaScript JSX", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 82
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/Contact.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/CreateOutletForm.tsx", "TypeScript JSX", 0, 0, 0, 303, 0, 0, 0, 0, 0, 0, 16, 22, 341
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/Dashboard.jsx", "JavaScript JSX", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 62
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/Deals.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/EditOutletForm.jsx", "JavaScript JSX", 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 16, 213
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/EditProfile.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/EmptyCart.jsx", "JavaScript JSX", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/EmptyDeal.jsx", "JavaScript JSX", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/EmptyWishlist.jsx", "JavaScript JSX", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/Home.jsx", "JavaScript JSX", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/InventoryBilling.jsx", "JavaScript JSX", 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 14, 212
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/Layout.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 1, 13, 180
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/LoyaltyPoints.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
